loss,policy_loss,l2_loss,mean_return,std_return,num_preferred,total_episodes
1.553736686706543,1.5439792286072458,97.57444763183594,0.6468750000000001,0.7757997385762644,13,64
1.5756639242172241,1.5660290737621119,96.3488998413086,0.45000000000000007,0.8882919002219936,14,64
1.567604899406433,1.5580915686275278,95.13408660888672,0.08437500000000006,0.9647244992094893,27,64
1.5990899801254272,1.5896970217718798,93.93012237548828,0.4390625000000001,0.908229250296284,16,64
1.5946595668792725,1.5853858330557424,92.73709869384766,0.28906250000000006,0.949525734824365,15,64
1.6005332469940186,1.5913777321577072,91.55513763427734,0.4375000000000001,0.9033790732577327,14,64
1.5707764625549316,1.561738064719571,90.38431549072266,0.5015625000000001,0.9206811655474169,17,64
1.547008991241455,1.5380864817588056,89.22470092773438,0.34375,0.9867679248435268,14,64
1.6779134273529053,1.6691057980060577,88.0763931274414,0.3187500000000001,0.9395602362275662,13,64
1.5884974002838135,1.5798034143447877,86.93939971923828,0.25468750000000007,0.9651634718242036,12,64
